stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 16 - Allegro Graphics, Euler Line\Lab 1 - Draw Triangle\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.02359] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02361] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.02364] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.02490] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.02493] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.03070] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.03241] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.03244] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.03326] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.03329] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.03334] Returning d3d_display: 007C60D0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.03336] al_display=007C60D0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03337] al_display->vt=007BC920
system   D            wsystem.c:721  maybe_parent_dir                 [   0.03349] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 16 - Allegro Graphics, Euler Line\Lab 1 - Draw Triangle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.03704] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.03713] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 16 - Allegro Graphics, Euler Line\Lab 1 - Draw Triangle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.03763] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.03771] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 16 - Allegro Graphics, Euler Line\Lab 1 - Draw Triangle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.03814] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.03822] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 16 - Allegro Graphics, Euler Line\Lab 1 - Draw Triangle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.03862] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.03870] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 16 - Allegro Graphics, Euler Line\Lab 1 - Draw Triangle\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.03881] PathFindOnPath found: C:\Windows\system32\d3dx9_39.dll
system   D            wsystem.c:682  load_library_at_path             [   0.03885] Calling LoadLibrary C:\Windows\system32\d3dx9_39.dll
system   I            wsystem.c:685  load_library_at_path             [   0.05354] Loaded C:\Windows\system32\d3dx9_39.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.05359] Module "d3dx9_39.dll" loaded.
d3d      I         d3d_disp.cpp:901  d3d_destroy_display              [2705.12729] destroying display 007C60D0 (current 00000000)
