stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 17 - Polar Coordinates, Parametric Equations\Lab 1 - Draw Circle\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.03231] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03233] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03234] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03236] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03238] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03240] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03241] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03246] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03248] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03250] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.03253] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.03533] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.03536] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.04687] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.05232] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.05235] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.05239] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.05449] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.05454] Returning d3d_display: 00ED6100
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.05456] al_display=00ED6100
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.05458] al_display->vt=00ECC950
system   D            wsystem.c:721  maybe_parent_dir                 [   0.05472] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 17 - Polar Coordinates, Parametric Equations\Lab 1 - Draw Circle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.05532] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.05540] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 17 - Polar Coordinates, Parametric Equations\Lab 1 - Draw Circle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.05582] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.05589] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 17 - Polar Coordinates, Parametric Equations\Lab 1 - Draw Circle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.05636] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.05643] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 17 - Polar Coordinates, Parametric Equations\Lab 1 - Draw Circle\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.05684] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.05691] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 17 - Polar Coordinates, Parametric Equations\Lab 1 - Draw Circle\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.05700] PathFindOnPath found: C:\Windows\system32\d3dx9_39.dll
system   D            wsystem.c:682  load_library_at_path             [   0.05702] Calling LoadLibrary C:\Windows\system32\d3dx9_39.dll
system   I            wsystem.c:685  load_library_at_path             [   0.05808] Loaded C:\Windows\system32\d3dx9_39.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.05812] Module "d3dx9_39.dll" loaded.
d3d      I         d3d_disp.cpp:901  d3d_destroy_display              [ 424.87105] destroying display 00ED6100 (current 00000000)
