stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.28488] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28490] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28491] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28493] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28495] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28497] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28498] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28500] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28502] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28504] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28507] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28509] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28511] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28513] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28514] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28516] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28520] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28521] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28523] Single Buffer requirement not met.
