stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 29 - kMeans Clustering\Lab 1 - kMeansClustering\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.02445] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02447] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02448] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02451] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02453] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02455] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02456] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02458] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02460] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02462] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02465] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02467] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02469] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02471] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02472] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02474] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02476] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02478] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02479] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02482] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02483] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02485] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02486] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02488] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02490] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02492] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02493] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02496] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.02498] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.03307] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.03310] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.03895] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.04066] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.04068] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.04072] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.04076] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.04079] Returning d3d_display: 00A35F88
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.04081] al_display=00A35F88
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.04082] al_display->vt=00A35EA8
system   D            wsystem.c:721  maybe_parent_dir                 [   0.04094] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 29 - kMeans Clustering\Lab 1 - kMeansClustering\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04150] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.04159] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 29 - kMeans Clustering\Lab 1 - kMeansClustering\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04200] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.04207] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 29 - kMeans Clustering\Lab 1 - kMeansClustering\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04247] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.04256] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 29 - kMeans Clustering\Lab 1 - kMeansClustering\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.04298] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.04305] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 29 - kMeans Clustering\Lab 1 - kMeansClustering\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.04314] PathFindOnPath found: C:\Windows\system32\d3dx9_39.dll
system   D            wsystem.c:682  load_library_at_path             [   0.04317] Calling LoadLibrary C:\Windows\system32\d3dx9_39.dll
system   I            wsystem.c:685  load_library_at_path             [   0.05074] Loaded C:\Windows\system32\d3dx9_39.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.05079] Module "d3dx9_39.dll" loaded.
dtor     D               dtor.c:187  _al_register_destructor          [   0.05184] added dtor for queue 00AC76A0, func 56D22351
